ISO code,Country,Variable code,Variable name,1990,2019
SYC,Seychelles,pop,Population (in millions),0.07057,0.097739
SYC,Seychelles,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1224.6337890625,3033.67211914063
SYR,Syrian Arab Republic,pop,Population (in millions),12.446171,17.070135
SYR,Syrian Arab Republic,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),16862.734375,96855.328125
TCA,Turks and Caicos Islands,pop,Population (in millions),0.012111,0.038191
TCA,Turks and Caicos Islands,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),154.6162109375,1144.52746582031
TCD,Chad,pop,Population (in millions),5.963252,15.946876
TCD,Chad,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),7215.255859375,25648.60546875
TGO,Togo,pop,Population (in millions),3.774312,8.082366
TGO,Togo,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6647.6259765625,17609.3515625
THA,Thailand,pop,Population (in millions),56.558186,69.625582
THA,Thailand,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),308367.4375,1222506.5
TJK,Tajikistan,pop,Population (in millions),5.283814,9.321018
TJK,Tajikistan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),36567.234375,30795.53515625
TKM,Turkmenistan,pop,Population (in millions),3.683967,5.942089
TKM,Turkmenistan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),42779.5625,162396.625
TTO,Trinidad and Tobago,pop,Population (in millions),1.221116,1.394973
TTO,Trinidad and Tobago,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15085.6611328125,37336.6640625
TUN,Tunisia,pop,Population (in millions),8.242496,11.694719
TUN,Tunisia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),47990.10546875,125595.5078125
TUR,Turkey,pop,Population (in millions),53.92176,83.429615
TUR,Turkey,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),606270.3125,2227538.25
TWN,Taiwan,pop,Population (in millions),20.278946,23.596027
TWN,Taiwan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),430917.25,1153761.125
TZA,U.R. of Tanzania: Mainland,pop,Population (in millions),24.523558,56.379874
TZA,U.R. of Tanzania: Mainland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),25741.6328125,131421.703125
UGA,Uganda,pop,Population (in millions),17.354392,44.269594
UGA,Uganda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15281.162109375,89417.125
UKR,Ukraine,pop,Population (in millions),51.463105,43.993638
UKR,Ukraine,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),609908.5,562544.1875
URY,Uruguay,pop,Population (in millions),3.109601,3.461734
URY,Uruguay,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),30116.36328125,73450.5
USA,United States,pop,Population (in millions),252.120309,329.064917
USA,United States,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9847675,20860506
UZB,Uzbekistan,pop,Population (in millions),20.398348,32.981716
UZB,Uzbekistan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),123369.9296875,378534.25
VCT,St. Vincent and the Grenadines,pop,Population (in millions),0.107484,0.110589
VCT,St. Vincent and the Grenadines,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),648.237426757813,1317.68823242188
VEN,Venezuela (Bolivarian Republic of),pop,Population (in millions),19.632665,28.515829
VEN,Venezuela (Bolivarian Republic of),rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),185169.046875,7166.57177734375
VGB,British Virgin Islands,pop,Population (in millions),0.017489,0.03003
VGB,British Virgin Islands,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),204.791595458984,1147.06005859375
VNM,Viet Nam,pop,Population (in millions),67.988862,96.462106
VNM,Viet Nam,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),92867.6328125,750726.75
YEM,Yemen,pop,Population (in millions),11.709993,29.161922
YEM,Yemen,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9130.5224609375,50052.93359375
ZAF,South Africa,pop,Population (in millions),36.800509,58.55827
ZAF,South Africa,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),341375.34375,748940
ZMB,Zambia,pop,Population (in millions),8.036845,17.86103
ZMB,Zambia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),11380.5869140625,57956.18359375
ZWE,Zimbabwe,pop,Population (in millions),10.432421,14.645468
ZWE,Zimbabwe,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),55114.98828125,42296.0625
